ORDER_DATE,TOTAL_ORDERS,TOTAL_REVENUE
2017-09-20,158,21812.75
2017-09-21,144,18251.99
2017-09-22,133,15388.12
2017-09-23,81,9720.71
2017-09-24,112,12920.75
2017-09-25,129,17502.57
2017-09-26,174,21101.61
2017-09-27,144,20646.92
2017-09-28,140,22993.12
2017-09-29,109,28399.80
2017-09-30,105,11654.60
2017-10-01,124,18058.48
2017-10-02,140,21550.66
2017-10-03,193,25462.08
2017-10-04,156,20972.70
2017-10-05,138,24851.52
2017-10-06,124,16993.27
2017-10-07,100,14941.03
2017-10-08,124,16539.01
2017-10-09,187,28850.29
2017-10-10,175,27879.52
2017-10-11,151,18735.58
2017-10-12,136,18352.08
2017-10-13,150,22241.19
2017-10-14,114,13160.97
2017-10-15,117,18598.06
2017-10-16,188,30039.98
2017-10-17,195,29361.78
2017-10-18,176,27257.79
2017-10-19,172,23128.37
2017-10-20,118,18523.40
2017-10-21,104,14332.86
2017-10-22,152,19195.28
2017-10-23,152,21682.21
2017-10-24,162,22034.47
2017-10-25,152,17397.16
2017-10-26,140,21253.81
2017-10-27,130,20318.58
2017-10-28,85,16333.61
2017-10-29,129,17048.75
2017-10-30,138,19400.06
2017-10-31,156,23753.10
2017-11-01,108,19363.71
2017-11-02,117,21074.93
2017-11-03,138,22844.05
2017-11-04,106,19033.27
2017-11-05,137,16323.76
2017-11-06,182,27673.15
2017-11-07,154,19711.71
2017-11-08,169,18594.64
2017-11-09,182,24307.55
2017-11-10,159,18789.56
2017-11-11,152,22768.63
2017-11-12,170,22553.77
2017-11-13,197,23792.68
2017-11-14,184,26542.95
2017-11-15,176,22591.40
2017-11-16,219,27674.54
2017-11-17,185,28711.29
2017-11-18,141,22713.91
2017-11-19,157,19932.66
2017-11-20,219,43405.98
2017-11-21,222,33600.85
2017-11-22,190,23951.51
2017-11-23,268,43102.33
2017-11-24,1147,149916.58
2017-11-25,487,59928.51
2017-11-26,382,44000.48
2017-11-27,395,47237.27
2017-11-28,372,47694.76
2017-11-29,314,39093.09
2017-11-30,260,30835.85
2017-12-01,267,38966.51
2017-12-02,212,30769.14
2017-12-03,227,28825.30
2017-12-04,322,45101.28
2017-12-05,269,33224.77
2017-12-06,269,38694.05
2017-12-07,223,27649.88
2017-12-08,210,28848.49
2017-12-09,154,19728.04
2017-12-10,184,23843.78
2017-12-11,262,33134.94
2017-12-12,251,32802.19
2017-12-13,215,28972.58
2017-12-14,195,24980.45
2017-12-15,185,26582.62
2017-12-16,129,20125.39
2017-12-17,130,19025.62
2017-12-18,205,28791.47
2017-12-19,173,20356.99
2017-12-20,168,26642.54
2017-12-21,140,18208.63
2017-12-22,108,14196.95
2017-12-23,101,11623.65
2017-12-24,57,5600.02
2017-12-25,86,9858.64
2017-12-26,165,20071.73
2017-12-27,164,17341.40
2017-12-28,143,14647.79
2017-12-29,132,15912.82
2017-12-30,96,13042.65
2017-12-31,71,8462.88
2018-01-01,72,6818.31
2018-01-02,200,24912.05
2018-01-03,219,31061.83
2018-01-04,248,34137.05
2018-01-05,197,25901.49
2018-01-06,213,27513.73
2018-01-07,192,28320.06
2018-01-08,287,37611.71
2018-01-09,246,29865.17
2018-01-10,271,37384.96
2018-01-11,260,39648.12
2018-01-12,234,30174.74
2018-01-13,211,27402.24
2018-01-14,229,30606.37
2018-01-15,300,37765.71
2018-01-16,296,42306.97
2018-01-17,277,35283.53
2018-01-18,236,27684.88
2018-01-19,225,27146.19
2018-01-20,182,22152.69
2018-01-21,188,21728.24
2018-01-22,305,36787.96
2018-01-23,256,34046.69
2018-01-24,236,30949.00
2018-01-25,226,28822.42
2018-01-26,223,33598.11
2018-01-27,150,21544.61
2018-01-28,149,22614.96
2018-01-29,242,29987.56
2018-01-30,248,28640.96
2018-01-31,251,32226.69
2018-02-01,227,29865.85
2018-02-02,207,26885.53
2018-02-03,189,22822.17
2018-02-04,197,23507.49
2018-02-05,265,35467.24
2018-02-06,262,33539.34
2018-02-07,242,30891.45
2018-02-08,225,27074.86
2018-02-09,208,30571.07
2018-02-10,174,20579.17
2018-02-11,165,22014.31
2018-02-12,214,23255.73
2018-02-13,217,23059.65
2018-02-14,287,36580.37
2018-02-15,270,31290.70
2018-02-16,210,26668.10
2018-02-17,198,24662.48
2018-02-18,199,24141.73
2018-02-19,251,27551.75
2018-02-20,283,36289.70
2018-02-21,260,31508.57
2018-02-22,268,29828.19
2018-02-23,232,28327.89
2018-02-24,188,23995.28
2018-02-25,231,28397.22
2018-02-26,290,43372.46
2018-02-27,293,39901.51
2018-02-28,303,44387.32
2018-03-01,268,38918.90
2018-03-02,262,31378.56
2018-03-03,205,25925.77
